id,text,response,distress,role,stage,cancer_type,tone,length,channel,age_group,noisy
0,"The oncologist said it was leukemia, and I don't know what to expect.",anxiety,low,spouse,diagnosis,leukemia,formal,short,online forum,teen,False
1,my brain scan sucks rn and i can't even finish this stupid history essay ugh  :(,sadness,medium,support-group member,diagnosis,brain,casual,short,online forum,teen,True
2,"stupid chemo rn, can't even keep the flowers my grandson brought alive  dammit it's just not FAIR!!",anger,high,support-group member,palliative,breast,messy,short,personal journal,elderly,True
3,"Hey man rn it's colon cancer ugh, doc says gotta get surgery but think ill kick its butt.  Did u see that new Spiderman trailer? Crazy! 😜",hope,low,close friend,diagnosis,colon,messy,medium,SMS,middle-aged,True
4,I should have made him quit smoking years ago.,guilt,medium,nurse or carer,diagnosis,lung,casual,short,SMS,middle-aged,False
5,"This can't be happening, it's just a bad dream right?",denial,high,patient,bereavement,ovarian,messy,short,SMS,teen,False
6,"It's been hard, but we're focusing on making Dad comfortable now.",acceptance,low,nurse or carer,palliative,prostate,messy,short,online forum,young adult,False
7,Ugh chemo rn is making him so nauseous. Think I need to go get more ginger ale... Hope it helps cuz this waiting and not knowing what's next is killing me. 😥,anxiety,medium,spouse,treatment,lung,casual,medium,SMS,middle-aged,True
8,"Everything feels so pointless now.  I just keep thinking about how unfair this is. What's the point of trying to study anymore when...when he might not even be here next year? I can barely breathe. I don't know what I'm doing anymore, just going through the motions.",sadness,high,nurse or carer,treatment,leukemia,messy,long,personal journal,teen,False
9,"It's just not fair. All these years of being careful and this happens anyway.  I suppose there are still some things I can enjoy, but...",anger,low,adult child,palliative,prostate,formal,medium,SMS,middle-aged,False
10,"Despite the challenges, I am determined to see this treatment through and come out stronger on the other side.",hope,medium,support-group member,treatment,lymphoma,formal,short,online forum,middle-aged,False
11,I keep replaying every argument we ever had in my head. Did I push him too hard? Maybe if I'd been more patient he wouldn't be going through this. It's all my fault.,guilt,high,spouse,treatment,brain,messy,medium,online forum,elderly,False
